"url","text","university"
"http://www.sussex.ac.uk/study/international-students/visiting-exchange-erasmus-students/modules/modules/213/63327","<div class=""small-12 large-9 large-push-3 columns wysiwyg content-region"">
<h1>Computing</h1> <h2>Data Structures &amp; Algorithms</h2>
<p>
    Module code: G5117<br/>
    Level 4<br/>
    15 credits in spring teaching<br/>
    Teaching method: Lecture, Class<br/>
    Assessment modes: Unseen examination, Coursework</p>
<p>This module provides an introduction to data structures and algorithms for computer scientists. The module introduces a number of fundamental data structures, including arrays linked lists, stacks, queues, trees, hash tables and graphs. These are presented both abstractly, via the notion Abstract Data Types, and concretely in terms of their implementation in an object-oriented framework. The data structures are discussed and analysed in terms of efficiency of the basic operations they support and their application to program design problems. Consideration is given to important, fundamental algorithms for searching and sorting data.</p>
<h3>Pre-requisite</h3>
<p>Introduction to Programming</p>
<h3>Module learning outcomes</h3>
<ul>
<li>Evidence knowledge of a variety of data structures in terms of their characteristic behaviours.</li>
<li>Implement and apply appropriate data structures for solving program design problems.</li>
<li>Demonstrate basic knowledge of complexity issues with respect to data manipulation.</li>
<li>Evidence understanding of a number of fundamental algorithms.</li>
</ul></div>","University of Sussex"
"http://www.sussex.ac.uk/study/international-students/visiting-exchange-erasmus-students/modules/modules/213/63321","<div class=""small-12 large-9 large-push-3 columns wysiwyg content-region"">
<h1>Computing</h1> <h2>Further Programming</h2>
<p>
    Module code: G5067<br/>
    Level 4<br/>
    15 credits in spring teaching<br/>
    Teaching method: Class, Lecture<br/>
    Assessment modes: Unseen examination, Coursework</p>
<p>This module follows on from ""Introduction to Programming"". It provides an introduction to more advanced programming concepts and techniques.</p>
<p>You cover Java programming, including:</p>
<ul>
<li>use of subclasses and library classes to create well-organised programs</li>
<li>choice and implementation of appropriate algorithms and data structures (e.g. arrays, lists, trees, graphs, depth- and breadth-first search, the minimax and A* algorithms)</li>
<li>construction of graphical user interfaces for Java programs.</li>
</ul>
<h3>Pre-requisite</h3>
<p>Introduction to Programming</p>
<h3>Module learning outcomes</h3>
<ul>
<li>Explain and exploit subclasses, inheritance and interfaces in Java to produce modular, well-organised code.</li>
<li>Implement simple algorithms and data structures in Java.</li>
<li>Evidence knowledge of basic concepts and principles of object-orientation such as objects and classes, encapsulation, object state, coupling, cohesion and modularity.</li>
<li>Produce graphical user interfaces for Java programs.</li>
</ul></div>","University of Sussex"
"http://www.sussex.ac.uk/study/international-students/visiting-exchange-erasmus-students/modules/modules/213/64395","<div class=""small-12 large-9 large-push-3 columns wysiwyg content-region"">
<h1>Computing</h1> <h2>Introduction to Computer Systems</h2>
<p>
    Module code: G6008<br/>
    Level 4<br/>
    15 credits in spring teaching<br/>
    Teaching method: Lecture, Class<br/>
    Assessment modes: Unseen examination, Coursework</p>
<p>In this module, you are introduced to three key aspects of computer systems – storage, processing and transmission of information. You study topics including:</p>
<p>Storage</p>
<ul>
<li>transistors and chips</li>
<li>memory architecture</li>
<li>primary and secondary storage</li>
<li>file systems.</li>
</ul>
<p>Processing</p>
<ul style=""list-style-type: disc;"">
<li>logic circuits</li>
<li>CPU operation</li>
<li>machine language</li>
<li>compilers and high level languages</li>
<li>the role of operating systems.</li>
</ul>
<p>Transmission</p>
<ul style=""list-style-type: disc;"">
<li>serial and parallel buses</li>
<li>interrupts</li>
<li>network layers and protocols</li>
<li>the internet.</li>
</ul>
<h3>Pre-requisite</h3>
<p>Programming Concepts</p>
<h3>Module learning outcomes</h3>
<ul>
<li>Demonstrate knowledge of the main physical components and logical elements of a computer and how they combine to store, process and transmit information.</li>
<li>Appreciate how computers process information at the levels of logic circuits and machine code.</li>
<li>Articulate the principal methods used for transferring information internally within a computer and externally between computer systems.</li>
</ul></div>","University of Sussex"
"http://www.sussex.ac.uk/study/international-students/visiting-exchange-erasmus-students/modules/modules/213/64393","<div class=""small-12 large-9 large-push-3 columns wysiwyg content-region"">
<h1>Computing</h1> <h2>Introduction to Multimedia</h2>
<p>
    Module code: G5039<br/>
    Level 4<br/>
    15 credits in autumn teaching<br/>
    Teaching method: Lecture, Laboratory<br/>
    Assessment modes: Coursework, Unseen examination</p>
<p>In this module, you develop a basic understanding of human perception and how this relates to the capture, display, storage and transmission of multimedia.</p>
<p>You are introduced to the technical principles and hardware underlying the capture, display, storage and transmission of:</p>
<ul>
<li>sound</li>
<li>video</li>
<li>image</li>
<li>graphical-based multimedia.</li>
</ul>
<h3>Module learning outcomes</h3>
<ul>
<li>Describe the basic principles behind human perception of media such as colour and sound and how perception relates to the capture, display, storage and transmission of this media.</li>
<li>Recognise the wider issues involved with multimedia production and distribution.</li>
<li>Identify and summarise the technological basis of the capture, display, storage and transmission of sound, video, image and graphical based multimedia.</li>
<li>Synthesise basic multimedia and web based content.</li>
</ul></div>","University of Sussex"
"http://www.sussex.ac.uk/study/international-students/visiting-exchange-erasmus-students/modules/modules/213/66379","<div class=""small-12 large-9 large-push-3 columns wysiwyg content-region"">
<h1>Computing</h1> <h2>Introduction to Programming</h2>
<p>
    Module code: G5066<br/>
    Level 4<br/>
    15 credits in autumn teaching<br/>
    Teaching method: Class, Lecture<br/>
    Assessment modes: Coursework, Unseen examination</p>
<p>The module introduces you to a collection of basic programming concepts and techniques, including:</p>
<ul>
<li>designing</li>
<li>testing</li>
<li>debugging</li>
<li>documenting programmes.  </li>
</ul>
<p>The module introduces the programming language Java, and is for both absolute beginners and those with prior computing experience. Java is a language used for other components of undergraduate modules. It will be the primary language used for programming assignments in nearly all first year modules taught by the Department of Informatics.</p>
<h3>Module learning outcomes</h3>
<ul>
<li>Demonstrate knowledge of fundamental imperative programming concepts such as variables and assignment, conditional statements, loops and methods.</li>
<li>Code an application in a suitable object-oriented programming language, from a detailed software specification.</li>
<li>Evidence knowledge of basic concepts and principles of object-orientation such as objects and classes, encapsulation, object state, coupling, cohesion and modularity.</li>
<li>Show awareness of basic principles of software design and development including appropriate naming of variables and classes, code lay out, testing and debugging, and documentation.</li>
</ul></div>","University of Sussex"
"http://www.sussex.ac.uk/study/international-students/visiting-exchange-erasmus-students/modules/modules/213/66380","<div class=""small-12 large-9 large-push-3 columns wysiwyg content-region"">
<h1>Computing</h1> <h2>Mathematical Concepts</h2>
<p>
    Module code: G6012<br/>
    Level 4<br/>
    15 credits in autumn teaching<br/>
    Teaching method: Lecture, Seminar<br/>
    Assessment modes: Coursework, Unseen examination</p>
<p>In this introductory mathematics module, you explore the fundamental mathematical concepts and skills needed for all Informatics degrees.</p>
<p>In this module, you cover topics such as:</p>
<ul>
<li>basic set theory</li>
<li>number systems</li>
<li>regular expressions</li>
<li>finite state automata</li>
<li>functions</li>
<li>basic calculus</li>
<li>basic linear algebra</li>
<li>proof by induction</li>
<li>an introduction to the concepts of probability theory and statistics.</li>
</ul>
<h3>Module learning outcomes</h3>
<ul>
<li>Is familiar with mathematical notations and confident in using them.</li>
<li>Has knowledge of the concepts of sets, expressions, automata and functions and is able to operate with them.</li>
<li>Can operate with vectors and matrices and has knowledge of the underlying concepts.</li>
<li>Has knowledge of the concept of probability and can calculate and interpret probabilities and statistical quantities.</li>
</ul></div>","University of Sussex"
"http://www.sussex.ac.uk/study/international-students/visiting-exchange-erasmus-students/modules/modules/213/63328","<div class=""small-12 large-9 large-push-3 columns wysiwyg content-region"">
<h1>Computing</h1> <h2>Professional Skills</h2>
<p>
    Module code: G5120<br/>
    Level 4<br/>
    15 credits in spring teaching<br/>
    Teaching method: Lecture, Seminar, Practical<br/>
    Assessment modes: Coursework</p>
<p>This module covers important professional skills in four categories: technical communication, technical and academic writing, professional conduct, and IT law. Topics include:</p>
<p>Technical communication skills (two lectures)</p>
<ul>
<li>giving effective oral presentations</li>
<li>graphical aids for oral presentations.</li>
</ul>
<p>Writing skills (12 lectures)</p>
<ul>
<li>report writing</li>
<li>reviewing</li>
<li>correct attribution of credit and referencing.</li>
</ul>
<p>Professional conduct (six lectures)</p>
<ul>
<li>codes of professional conduct</li>
<li>computers and society, including the workplace and education</li>
<li>ethical implications of the internet, artificial intelligence, virtual reality, and emerging new technologies.</li>
</ul>
<p>IT law (four lectures)</p>
<ul>
<li>digital evidence: Information retrieval, retention and protection</li>
<li>privacy and data protection</li>
<li>contract law and employment law for IT</li>
<li>intellectual property in the IT sector.</li>
</ul>
<h3>Module learning outcomes</h3>
<ul>
<li>Give effective oral presentations.</li>
<li>Adopt a problem solving approach to the process of writing.</li>
<li>Be aware of rules of academic and professional conduct and act accordingly.</li>
<li>Have knowledge of the fundamentals of IT law.</li>
</ul></div>","University of Sussex"
"http://www.sussex.ac.uk/study/international-students/visiting-exchange-erasmus-students/modules/modules/213/64394","<div class=""small-12 large-9 large-push-3 columns wysiwyg content-region"">
<h1>Computing</h1> <h2>Programming Concepts</h2>
<p>
    Module code: G6007<br/>
    Level 4<br/>
    15 credits in autumn teaching<br/>
    Teaching method: Lecture<br/>
    Assessment modes: Unseen examination</p>
<p>In this module, you are introduced to algorithmic problem solving. Your studies in this module will answer the following questions:</p>
<ul>
<li>what is a problem specification, an algorithm, a computation?</li>
<li>what are their properties?</li>
<li>how does one develop an algorithm?</li>
<li>how can one rigorously argue that an algorithm computes correct solutions to a given problem?</li>
<li>how can one measure the efficiency of an algorithm and the complexity of a problem?</li>
</ul>
<p>As part of the module, you use a simple algorithmic language (pseudo code) for the sake of writing algorithms - the focus of this module is on algorithmic thinking, not coding.</p>
<p>In the module, you specify and develop searching, sorting and other simple (and intuitive) algorithms. You apply and explore principles like divide-and-conquer and recursive programming.</p>
<p>You also look at two important properties of algorithms - 'correctness' and 'complexity'.</p>
<p>Algorithms should only compute correct solutions of a problem. To establish correctness, you are introduced to some relevant (propositional and predicate) logic, in an informal style (focusing on logical reasoning principles rather than logical calculi).</p>
<p>Finally, you discuss asymptotic complexity classes and explore the concept of time complexity of an algorithm.</p>
<p>As part of this module, you undertake exercise classes and coursework, based on a series of examples.</p>
<p>The algorithms you develop in this module should be implemented in Java concurrently or at a later stage in the further programming module.</p>
<h3>Module learning outcomes</h3>
<ul>
<li>Develop an algorithm from a given problem specification.</li>
<li>Prove that a given algorithm is correct for a given problem specification.</li>
<li>Analyse a given algorithm and establish its time complexity class.</li>
<li>Spot mistakes and suggest possible improvements for a given algorithm.</li>
</ul></div>","University of Sussex"
"http://www.sussex.ac.uk/study/international-students/visiting-exchange-erasmus-students/modules/modules/213/61293","<div class=""small-12 large-9 large-push-3 columns wysiwyg content-region"">
<h1>Computing</h1> <h2>The Ghost in the Machine?</h2>
<p>
    Module code: G5077<br/>
    Level 4<br/>
    15 credits in autumn teaching<br/>
    Teaching method: Lecture, Seminar<br/>
    Assessment modes: Coursework</p>
<p>What is mind? How can our view of ourselves as subjects with a mental life be reconciled with the non-mental, scientific accounts we have of our brains and bodies?</p>
<p>We will look at a number of different physicalist theories, concentrating on variants of the view that cognition is computation, and on neurophysiologically-based accounts of mind.</p>
<p>In doing so, we will examine some of the basic issues underlying cognitive science as an interdisciplinary study of the mind, taking in topics from psychology, neuroscience, linguistics, computing, artificial intelligence, robotics, evolutionary theory, biology and philosophy along the way.</p>
<h3>Module learning outcomes</h3>
<ul>
<li>Describe basic philosophical and methodological problems in cognitive science.</li>
<li>Discuss the way different disciplines (eg psychology, philosophy, neuroscience, linguistics, computer science and AI, robotics, biology, etc.) collaborate and compete together over their treatment of common themes in cognitive science.</li>
<li>Express ideas, thinking and reasoning clearly and critically reflect upon their own views and prejudices.</li>
</ul></div>","University of Sussex"
"http://www.sussex.ac.uk/study/international-students/visiting-exchange-erasmus-students/modules/modules/213/63338","<div class=""small-12 large-9 large-push-3 columns wysiwyg content-region"">
<h1>Computing</h1> <h2>3D Modelling and Rendering</h2>
<p>
    Module code: G6029<br/>
    Level 5<br/>
    15 credits in autumn teaching<br/>
    Teaching method: Laboratory<br/>
    Assessment modes: Coursework</p>
<p>This module provides you with an intensive introduction to computer graphics modelling and rendering, including computer graphics fundamentals such as basic 3D geometry transformation, mesh descriptions, shading and lighting; and will look at industry standard software for modelling and rendering geometry.</p>
<h3>Module learning outcomes</h3>
<ul>
<li>Identify and describe the operation of the main components of a modern graphical modelling and rendering system.</li>
<li>Summarise and explain the relevant theory and fundamentals of computer graphics.</li>
<li>Synthesise (model) 3D graphical content.</li>
<li>Synthesise (light and texture) 3D graphical content.</li>
</ul></div>","University of Sussex"
